"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"51246",6882.19004736402,-2.66364934549354,0.687213259186209,-3.87601564709012,0.000106180858986383,0.0103464423151209
"5210",616.781301052101,-1.63733093304273,0.461808973713097,-3.54547231916705,0.000391910147726327,0.0199251527965467
"7384",1287.35160111121,-1.67207176948405,0.497684088385955,-3.35970509908558,0.000780257113267783,0.0269757693667147
"2876",15529.7080939387,-1.90151231583014,0.564388716917361,-3.36915366808896,0.000753993798878592,0.0266112089877632
"327",651.188433684701,-1.65828641351697,0.576216412272942,-2.87788819998323,0.00400346994736572,0.0487444319093673
"63891",540.302633596895,-1.98151527906489,0.523316881350849,-3.7864539625589,0.000152812391917023,0.0126056660101492
"2771",10007.3140257671,-0.883890791087522,0.28776378371462,-3.07158454645596,0.00212925854367681,0.0375746751359474
"8692",119.732410087111,-1.71084899260174,0.50572089934705,-3.38299048904378,0.000717011153595089,0.0262750092402726
"11334",370.972579969598,-1.16882848565263,0.407074180398639,-2.87129113545845,0.00408798832517742,0.0492572560426088
"11068",290.933836125004,-1.49660584437221,0.4716715861529,-3.17298283023363,0.00150881447091867,0.033075129925852
"7867",1751.72180921475,-1.41365694625242,0.411502441907865,-3.43535493908184,0.000591778189060529,0.0242601839197775
"51368",392.181232275713,-1.44650724000889,0.480380464603757,-3.01116999252258,0.0026024311367423,0.0404916210684423
"84836",587.984647255584,-1.19484065147833,0.413023661691086,-2.89291089664494,0.00381689561941577,0.0478252340578427
"100526760",69.0275586385711,-1.63792261819774,0.522642081527173,-3.13392793288228,0.00172483212057265,0.0343037148750438
"95",31.1500392417821,-1.67021272129507,0.506162596369903,-3.29975532224921,0.000967691573751678,0.02888776922842
"11344",1834.14293828566,-1.60773275198052,0.487157959882771,-3.3002288464452,0.000966060174842903,0.02888776922842
"132160",1127.42211315336,-1.85023167804926,0.478846225364124,-3.86393706380856,0.000111573980232497,0.0105098166109543
"7086",12630.6924731002,-1.5924349777847,0.425806659739117,-3.7398075895768,0.000184161169608457,0.0138777884622243
"2850",300.923520840376,-1.98160353231991,0.591219353873671,-3.35172304380165,0.00080310317235643,0.0269902176893795
"60675",816.874044902603,-1.74713574586462,0.357587609490509,-4.88589565045035,1.029597214964e-06,0.000956907651587543
"105377156",27.0878248335134,-1.27872852404974,0.429841641011899,-2.97488284531825,0.00293100462406866,0.0422555692493705
"166012",119.01822710443,-1.84662623581943,0.597129740779232,-3.09250420756075,0.00198475420060366,0.0364785265620668
"50512",23.5023050706389,-1.2681357690525,0.39451085611315,-3.21445088114072,0.00130694273136999,0.0317713520834487
"80325",8631.8745893625,-2.04356649768705,0.553648911192012,-3.6910873594734,0.000223297422858971,0.0151800868920542
"100534599",673.572439647742,-1.37671045018662,0.440533716161333,-3.12509667178901,0.00177746635229016,0.0345668704368227
"339122",720.105353411386,-1.81739310039349,0.48807455522718,-3.72359730891435,0.000196404110366309,0.0144108931716669
"9435",405.164855310901,-1.71517620490734,0.56806731890959,-3.01931856984774,0.00253343982181658,0.0399081181423106
"131408",101.863529722257,-1.41347809157667,0.48237614142921,-2.9302404704112,0.00338699786540364,0.0451227470288331
"10188",1254.42127917856,-1.13340444135369,0.378921399867841,-2.99113336367119,0.0027794407779653,0.0412653715501749
"131540",37.3756465331775,-1.68166588457373,0.549984050803896,-3.05766300334654,0.00223070283118303,0.0381361074517551
"105374304",11.0155738172041,-2.77954661425103,0.491343042166253,-5.65703871982486,1.54007029339843e-08,0.000107350599801338
"728262",961.953103668138,-1.09376037198705,0.344351260228244,-3.1762926357873,0.00149170392241708,0.0330472966499925
"84179",158.633359235285,-1.80618368851465,0.517013789799451,-3.49349229005144,0.000476746750223516,0.0222285165380135
"100616358",24.1198778376962,-1.55631581247367,0.423300547117025,-3.67662131096517,0.000236343488084921,0.0152540026268143
"101929599",14.8168827178703,-1.16904129935146,0.401602823669244,-2.9109389437816,0.00360344425209709,0.0463856106357207
"995",16.1766026864946,-1.53923195607128,0.448621247589724,-3.43102776415741,0.000601299054958024,0.0243557839564622
"51307",1378.47279964255,-1.15488834593028,0.353555430348631,-3.26649867827367,0.00108886316163095,0.0299405154562073
